cuisine,star_rating,transactions,restaurant_id,longitude,num_reviews,restaurant_name,latitude,is_closed,zip_code
"Bars, Southern, Breakfast & Brunch",4.0,"delivery, pickup",YOzva5nTtkQhyPrHErGn7Q,-71.1082798988,196,The Frogmore,42.3225067823,1,02130
Breakfast & Brunch,3.5,"delivery, pickup",yx4IYpg9MGbrVqNdZwXX_A,-71.09019,1937,The Friendly Toast- Cambridge,42.36657,1,02139
"Pubs, Burgers, Sandwiches",3.5,delivery,qhz_ypl5rVzP-sJ-7t6ctw,-71.1035370827,310,The Field,42.3657738363,1,02139
"Lounges, Music Venues, Dive Bars",3.5,delivery,AjUWObAduLvVOQU_HHI9iA,-71.1051712185,220,Cantab Lounge,42.3662095517,1,02139
"American (Traditional), Gastropubs",3.5,delivery,kxSce-ipaV5GwiN8Ntq2rg,-71.0616226196,587,Stoddard's Fine Food & Ale,42.3552131653,1,02111
Italian,3.5,delivery,0qdUCUn5GwS3PH5tJNuc-g,-71.0756005347,335,Dante,42.3665857315,1,02142
"Coffee & Tea, Sandwiches, Breakfast & Brunch",3.5,"pickup, delivery",AHaaxF5ERCuLDvcC6xnQJQ,-71.0748283386,148,Pret A Manger,42.3508484058,1,02116
"Coffee & Tea, Sandwiches, Salad",3.5,"delivery, pickup",N48l2ZQ_rGsQqCwUsQG7-w,-71.05953,83,Pret a Manger,42.35499,1,02110
"Coffee & Tea, Breakfast & Brunch, Sandwiches",3.5,"pickup, delivery",ft-u7hmJk2b-UPdZrL55fw,-71.0558673113,14,Pret A Manger,42.3533370577,1,02110
"Coffee & Tea, Breakfast & Brunch, Sandwiches",3.0,"pickup, delivery",WBNP3SdePh1YSTfVLjVKyw,-71.05561517,2,Pret A Manger,42.35195567,1,02110
"Coffee & Tea, Sandwiches, Breakfast & Brunch, Cafes",4.0,"delivery, pickup",6Qqz3eQVLJDRELE2Grm-_w,-71.05482,111,Pret A Manger,42.35542,1,02110
Cafes,3.5,,6Oq2nV3z-DAlgCHp4bZuHg,-71.1074374233,25,Pret A Manger,42.3388815055,1,02215
"Coffee & Tea, Breakfast & Brunch, Sandwiches",4.5,"pickup, delivery",Xka7oeVkX_ovx7WhdoedNA,-71.10769,12,Pret a Manger,42.339,1,02215
"Bars, American (New)",3.5,delivery,nlnWODemnfzut10tzC5x3A,-71.0740553751,662,Post 390,42.3488638812,1,02116
"Breakfast & Brunch, French, Sandwiches",4.5,"pickup, delivery",mJ6wNXXsc5ettMVhrLMv-Q,-71.0597,92,Popover King,42.36384,1,02114
"American (New), Desserts, Wine Bars",4.0,delivery,Nnz7GwVA51l5uCijP5UAHw,-71.1209747,76,Parsnip Restaurant & Lounge,42.3725045,1,02138
"Irish, Pubs",4.0,delivery,xjzA4zoZdTpDzENqdd_Plg,-71.1072737,117,O'Leary's Irish Pub and Restaurant,42.3462568,1,02446
Thai,3.5,"delivery, pickup",rGEsouKJywKQLYmvD2H_1Q,-71.07301,146,House of Siam,42.34291,1,02118
"Bars, American (Traditional), Seafood",2.5,"pickup, delivery",Rjmow52esfT1_eI6tfCHDQ,-71.0542120957,472,Dick's Last Resort,42.3604098407,1,02109
Burgers,3.0,delivery,y-GXo1JYDFQwObUXrpxjQg,-71.102731,20,Craigie Burger,42.344685,1,02215
Singaporean,4.5,"delivery, pickup",uL7PDSmLxPPRMtFjENn9rQ,-71.132788,66,Chic Chick,42.352893,1,02134
"Bars, American (New), Seafood",3.0,"pickup, delivery",mtG5TI0nPbrty2zf8Gz7Jg,-71.05106,283,Barlow's Restaurant,42.34653,1,02210
"Korean, Barbeque",3.5,"delivery, pickup",MRR_DEUfKIxWdnQJmzxWhA,-71.125279,108,Misono Grill,42.352353,1,02215
Japanese Curry,3.5,"delivery, pickup",9ylWOjNH4ldduzaF0FFylA,-71.125425,6,Tonkatsu King,42.352469,1,02134
"Vegetarian, Vegan, Cafes",4.5,delivery,AS6PcESp0vTPT53RDUFQiQ,-71.1372809,315,Whole Heart Provisions,42.3537846,1,02134
"Desserts, Caterers, Bakeries",5.0,"pickup, delivery",wyNFqkgseU6yG969FSzO2Q,-71.1380332,29,Brit Bakery,42.3859093,1,02138
"Spanish, Coffee & Tea, Basque",3.5,delivery,22o_VdMfKA1jjemWwbeujg,-71.11547,182,Cafe Pamplona,42.37175,1,02138
"Seafood, Bars",3.5,delivery,hW7KINz9iwwmtuiDUNgoPw,-71.1234795497,352,Legal Sea Foods,42.3720188923,1,02138
"American (Traditional), Lounges, Sports Bars",3.5,"delivery, pickup",uMQDgdKA1prI6NhjPo3Njg,-71.054106,247,Battery Park Bar & Patio,42.357395,1,02110
"Japanese, Sushi Bars",3.5,"pickup, delivery",sNVX7k89s8L-X4oSN0NIHA,-71.05431,254,Sakura-Bana,42.35798,1,02109
"Mediterranean, Salad, Pizza",3.5,"delivery, pickup",6dj0t8vx2kdskDMhChLSHQ,-71.0588412149,233,Uno Due Go,42.3544441931,1,02110
"Breakfast & Brunch, Bakeries",3.5,,r4s5Uv-09mXW3tvyR9ZI5g,-71.06408,6,Swissbakers,42.3665417,1,02114
"Burgers, Coffee & Tea, Sandwiches",3.0,pickup,K7jF_DHzb6MtGN9vj7zbPg,-71.0552889,113,Cobblestone Cafe,42.3629314,1,02113
Cafes,4.0,delivery,0UY6UXEedB2_M7vK6pYISQ,-71.099228,379,Neighborhoods Coffee & Crepes,42.343162,1,02215
"Italian, Chicken Wings, Sandwiches",3.5,"delivery, pickup",6STg6HGBeQ5DV-T9TDpRdA,-71.07027,22,Blackjack Pasta Kitchen,42.34134,1,02118
"Polish, Hungarian, Wine Bars",4.5,delivery,j4GcfVzq1BCXGoPtNGOtgg,-71.05712,448,Cafe Polonia,42.32878,1,02127
American (New),4.0,delivery,eFA7z513ckKzfGPROQv0Ww,-71.05291,119,Backyard Betty's,42.34053,1,02127
"Pubs, Irish",3.0,"pickup, delivery",dv56VSw7tClqOuTYUrOwJw,-71.099647522,547,The Asgard,42.3624687195,1,02139
"Irish, Irish Pub, American (Traditional)",3.0,delivery,y6K0p0zC7pc2Mc0IjKTJ9Q,-71.091779,372,The Kinsale,42.329775,1,02108
